nr wiersza 0, nr kolumny 0, [r. suma nagród Q = [5589.504, 5550.058, 5577.367, 5540.2085, 5527.3296, ]
nr wiersza 0, nr kolumny 1, [r. suma nagród Q = [5522.608, 5484.323, 5560.238, 5517.5605, 5497.9946, ]
nr wiersza 0, nr kolumny 2, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 0, nr kolumny 3, [r. suma nagród Q = [5583.837, 5621.8774, 5595.6763, 5538.2793, 5540.994, ]
nr wiersza 0, nr kolumny 4, [r. suma nagród Q = [5630.066, 5630.593, 5607.3394, 5623.967, 5557.3506, ]
nr wiersza 0, nr kolumny 5, [r. suma nagród Q = [5610.424, 5629.8677, 5629.4087, 5605.343, 5562.428, ]
nr wiersza 0, nr kolumny 6, [r. suma nagród Q = [5627.552, 5647.1045, 5616.235, 5620.907, 5587.5273, ]
nr wiersza 0, nr kolumny 7, [r. suma nagród Q = [5607.158, 5295.447, 5365.169, 5645.145, 5552.944, ]
nr wiersza 0, nr kolumny 8, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 0, nr kolumny 9, [r. suma nagród Q = [10.806282, 2639.7883, 4629.9526, -51.0, 2037.2029, ]
nr wiersza 0, nr kolumny 10, [r. suma nagród Q = [2295.2415, 4595.0317, 1983.3135, 1865.7957, 185.94984, ]
nr wiersza 0, nr kolumny 11, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 1, nr kolumny 0, [r. suma nagród Q = [5562.0015, 5551.789, 5600.1743, 5563.333, 5579.8535, ]
nr wiersza 1, nr kolumny 1, [r. suma nagród Q = [5569.4507, 5483.296, 5520.196, 5490.694, 5550.991, ]
nr wiersza 1, nr kolumny 2, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 1, nr kolumny 3, [r. suma nagród Q = [5620.367, 5618.401, 5630.873, 5590.417, 5640.2954, ]
nr wiersza 1, nr kolumny 4, [r. suma nagród Q = [5620.7393, 5630.647, 5621.4575, 5609.7607, 5628.538, ]
nr wiersza 1, nr kolumny 5, [r. suma nagród Q = [5612.3164, 5613.0645, 5542.968, 5558.2607, 5622.6494, ]
